id,date,proposalx,d1e1,d2e1,d3e1,turnoutx,titel_kurz_d,age,age_category,part,vote_x,educ
1220099.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,75.0,class75,did,no (rejected),2
1220100.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,58.0,class55,did not,,2
1220101.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,63.0,class55,did,yes (accepted),2
1220102.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,67.0,class65,did,no (rejected),5
1220103.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,71.0,class65,did,no (rejected),5
1220104.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,69.0,class65,did,yes (accepted),6
1220105.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,61.0,class55,did,yes (accepted),9
1220106.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,69.0,class65,did not,,3
1220107.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,44.0,class35,did not,,5
1220108.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,34.0,class25,did not,,5
1220109.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,51.0,class45,did not,,2
1220110.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,56.0,class55,did not,,5
1220111.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,73.0,class65,did,voted blank / did not vote for this voting proposal,8
1220112.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,76.0,class75,did,no (rejected),8
1220113.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,65.0,class65,did,no (rejected),8
1220114.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,94.0,class75,did not,,2
1220115.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,63.0,class55,did,yes (accepted),5
1220116.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,56.0,class55,did,don’t know,5
